,publish_date,title,description,tags
10,2006-10-31T04:24:30Z,NINE,Soon.... soon... soon things are going to be different.  I'm writing a script.,U2|Green|Day|greenday|saints|are|coming|hurricane|katrina|new|orleans
11,2006-10-05T02:51:27Z,Miri × Miry  season 3,"Team Panties want to thank you for 1.000hits of our 『season 2』!
 
 We would like to give 『season 3』 to ""Akihabara resident"" A-boy.
 
 Get ready for your tissues!
 
 See you at our last chapter 『season4』!
 
 The Chief Officer of Team Panties",miri|hanai|sexy|idol|horror|erotic
12,2006-08-19T19:20:45Z,Gallery (Dedicated to all the people I like! ^-^),"Gallery 
 By Mario Vazquez (or something in that matter)
 My version,
 God broke the mould when he made this one I know
 He's breath-taking but so much more
 He walks in the room, your lungs close
 Making you never wanna breathe again
 His girlfriend has got so much dough
 So much ice her neck and wrists froze
 Is she faithful to him, hell no
 But he chose to be with her, baby
 
 Tell me is the money worth your soul
 Tell me what's the reason that you hold on
 When you know that girl
 Has a whole wall of them just like you
 And boy you're just way too fine
 Gotta be treated as one of a kind, boy
 Use your mind, don't be just another dime
 Because
 
 I can't take
 Seeing you with her
 'Cause I know exactly what you'll be
 In her gallery
 Just not fair
 And it's tearing me apart
 You're just another priceless work of art
 In her gallery
 
 He's so confused
 He knows he deserves more
 Someone who will love and adore
 But her money's hard to ignore
 He really doesn't know what to do
 Boy it's just a matter of time
 Before she finds another more fine
 After she's done dulling your shine
 You're out the door and she through with you
 
 Tell me is the money worth your soul
 Tell me what's the reason that you hold on
 When you know that girl
 Has a whole wall of them just like you
 And boy you're just way too fine
 Gotta be treated as one of a kind, boy
 Use your mind, don't be just another dime
 
 I can't take
 Seeing you with her
 'Cause I know exactly what you'll be
 In her gallery
 Just not fair
 And it's tearing me apart
 You're just another priceless work of art
 In her gallery
 
 You're a masterpiece, I know that she
 Can't appreciate your beauty
 Don't let her cheapen you
 He don't see you like I do
 Beautiful not just for show
 It's time that someone let you know...
 
 I can't take
 Seeing you with her
 'Cause I know exactly what you'll be
 In her gallery
 Just not fair
 And it's tearing me apart
 You're just another priceless work of art
 
 I can't take
 Seeing you with her
 'Cause I know exactly what you'll be
 In her gallery
 Just not fair
 And it's tearing me apart
 You're just another priceless work of art
 In his gallery
 In his gallery
 
 Okay! If you are one of the people I'm talking about find you name and read what's next to it,
 
 DarkKaworu (I really love you! your really nice, and the jokes are cool,  I like jokes, and you understands, Thank you for everything!)
 Hydra4 (Now you know, I really care for you, I really want to help you heal those wounds you have, never feel afraid to ask me for help, I want to help you with any problems you may have, even if it's just a little one,)
 sesshomaru2345657 (Hee hee hee, your just way to cool and you really nice, thanks for everything!)
 mastergai (Your really cool, thanks for everything, the time that we talk is really great! Don't let anything get you down okay!)
 Itachi9999 (You have a girlfriend, but I still love you, thanks for everything)
 Sasuke992 (You also have a girlfriend, and I know that everything that is happening at home for you is hard, I know what your going throu, please, take care of you self and I want you to know i love you!)
 DarkKnightRoxas  (Never let the bad side of you take over and take care, don't let the fact that school is here take over you and always be you, always be as free as you can be, and alway try to know what you can, don't let others desive you and live a long and happy life, I Love you lots!)
 KuroYamiKami (Honey, there's not a lot a can say to you, I love you so much, take care and do youre best! ^-^)",Gallery|Anime|song|Guys|who|Hataru|Like|Cool|Interresting|Seven
13,2006-07-31T16:12:49Z,Butthead pooping,Poop in http://www.gizmoz.com/video/81186_butthead_pooping,GoldenPalace.com|Mr.|Safety|Professional|Idiot|SMP|Films|Stranger|Dayz|Dog|Gommit|Stupidity|Chuck|Nor
14,2007-01-03T16:20:41Z,countdown: a cannibal snuff film,Countdown a film from James Nowlan now available here http://www.amazon.com/Countdown/dp/B000TFJCFU a snuff film  cannibal pamela anderson tommy lee stab love peace happiness sex pussy tits dirty porn fuck bitch sweet whore naked boobs large breasts booty ass phat lesbians Paris Hilton kissing menage a trois america's got talent crazy Shakira J Lo Jennifer Lopez slash Nicole Scherzinger Pussy Cat Dolls PCD Madonna execute execution Tabatha Cash Tera Patrick touch porn horny christina aguilera agulera aguelera aguliera britney spears deep reveals revealing lol wow wtf omg tonight today show interview biggest largest ever exclusive nude pics vids photos amateur black blond brunette georgeous shoot headshot shot dead beautiful pretty Latina babes silicon bikini beach G-string thong tongue sodomise sodomize butt cheeks nipples slip wonder bra underwear relaxing tape video DVD annual cannes film fest award ceremony best actor actress nominated grammy wma girls gone wild boy woman women man men kisses B&D S&M BnD SnM BD SM threesome orgy spring break chicks Howard stern stars close up mini skirt tight licking cock dick blow job sucking wet orgasm volleyball soccer mud wrestling greased oily nasty filthy onion 69 sixty nine cum cumming all over sloppy milf mature ladies erotic exotic dancer belly dancing shaking gangbang skinny super top model Miss world brazil argentinian mexico mexican south american italy italian spain spanish columbian venezuela britain London fashion Tyra Banks Claudia Schiffer Heidi Klum Kate Moss Jordan Victoria David Janet Jackson Beyonce Cassie Beckham Naomi Cambell foxy lil victoria's secret lingerie stockings legs sexy spread open dripping drooling sensual swedish massage puerto rican mamma rico san juan Paris shaved shaven stunning stunner Usher Brad Pitt Tom Cruise assfuck Jude Law James Bond Angelina Jolie decapitate decapitation 9 millimeter .38 .22 .44 .45 .357 magnum tokyo Japan chinese japanese fine fit finest nice outfit sexiest red haired see through d cup double triple loving sleeping most hairy wax smooth dark light skinned Arthur Shawcross Ed Gaines Charles Manson Henry Lee Lucas stalk stalker killer slay slayer brutality brutalise brutalize wound wounded Richard Ramirez lethal murder murderous weapon arm armed 187 beat bludgeon underground independent film literature art indie alternative transgressive slaughter revolver smith wesson colt m pokora nolwen leroy,torture|cannibalism|nude|naked|pussy|nipple|snuff|film
15,2006-03-23T05:14:06Z,Chris Rock,Chris Rock Documentry On Cops & African American People,Chris|rock
16,2006-02-20T08:02:19Z,How Not To Get Your Ass Kicked,Chris Rock explains it all...,chris|rock
17,2006-12-29T05:37:40Z,"Hot youtube, podshow and HD babes",podcasts from cyberspace,podcasting101|podshow|youtube|girls|chanels
18,2006-11-20T12:12:14Z,shower peeling for men,2 stupid girls promoting the new axe shower peeling gel and falling in love,shower|peeling|girl|boobies|lesbians|dumb
19,2006-10-25T19:00:50Z,Banned Commercial-The effect of beer on men,BEER ON MEN- Comedy,BEER
20,2006-09-09T18:04:28Z,The Great Divide,The bickering and infighting between roommates is turing Rodney into a sour-puss.,roomates|comedy|sketch|short|funny|ozma|fight|pussy|rodney|House|bulliestogo|ahighschoolchorus|lafayette|teamteam
21,2006-07-27T22:04:06Z,The Story Of Ricky Nutcracker Trailer,"This is a black comedy music video I made three years ago that I accidentally dug up when looking through me past materials.
 
 Very violent and very silly... you have been warned!!",riki-oh|story|of|ricky|daily|show|brutal|fight|nutcracker|gory|stupid|humor|Russian|Dance|Russian-Dance|black-comedy|comedy|Pyotr|Ilyich|Tchaikovsky|Pyotr-Ilyich-Tchaikovsky
22,2007-01-18T02:13:02Z,Easy Living_Black night,A Deep Purple classic: Black night Keep on rocking everybody:-) Oh yes;and don't forget to boogie,Deep|purple|black|night|guitar|rock|hard|live|gig|blackmore|classic|emsland|papenburg|solo
23,2006-09-28T17:31:26Z,demo,"this is a collection of bits of film that i have shot over the past few years for movies, television, and personal",demo|horror|bling|fashion
24,2005-12-20T13:08:15Z,AEK Supporters Original 21,The best Club in Greece,aek|sports|greece|football
25,2006-12-10T20:03:32Z,Titties & beer,"Just a little fun with a video I made about 2 years ago. Enjoy!
 
 Rodney Carrington",tits|titties|breast|boobs
26,2007-01-21T18:19:27Z,Lesbian Biker Movie ! (The Spread Eagles) sexy film trailer,A biker feature film trailer.,lesbian|biker|gang|sexy|woman|girl|motorcycle|harley|davidson
27,2006-02-27T00:49:06Z,Emo Rangers!,The Mighty Moshin' Emo Rangers short film (NOT MY FILM) (property of myspace.com/emorangers),emo|emorangers|rangers
28,2005-10-30T13:22:14Z,Mighty Moshin Emo Rangers,Depressed teens save the world from evil space monsters with their giant robots and super powers!,Emo|Rangers|Rock
29,2006-01-06T08:29:53Z,will ferrell as bush,funny as hell,will|ferrell|bush
30,2006-06-21T16:09:15Z,AMV (The Best part of a Anime ),"So romantic video
 ( www.mariecr.net )
 Video, web and flash designer",amv|anime|echii|romantic|video|kiss|furuba|kanatsuki
31,2006-06-02T09:24:01Z,Anime Bra Sizes,"GO TO THE LINK AND VOTE FOR ME!!!!
 http://www.instructables.com/id/K-9-mans-best-friend/
 
 An AMV to Bras on 45..... Thanks for all your comments!!!!",Amazing Nurse Nanako|Puni Puni Poemy|Golden Boy|Dragonball|Jungle De Ikou!|Ranma 1/2 Movie|Burn-Up W|Dirty Pair|Hanaukyo Maids|Hanaukyo Maids: La Verite|Eiken|Elfen Lied|Girls Bravo|Tenjho Tenge|excel saga|anime|naruto|romance|amv|animation|avi|=3|teen|tits|huge|boobs|booty|big|opening|chapter|large|giant
32,2007-01-08T09:24:50Z,PARIS HILTON BUSTED SMOKING POT W/ BRITNEY SPEARS!,PARIS HILTON AND BRITNEY SPEARS DOING LOTS OF PARTYING SEX AND DRUGS! REAL PICTURES- YOUTUBE EXCLUSIVE!,paris|hilton|britney|spears|nude|sex|sexy|girls|420|nfl|tits|ass|boobs|ufc|wwe|brookers|lonleygirl15|thehill88|renetto
33,2007-02-09T07:15:30Z,Anna Nicole Tribute Parody - 1st on YouTube,VERY FUNNY!!!! THE FIRST TRIBUTE & PARODY ON YOU TUBE. Anna Nicole Smith Sexy Death Video Parody. Now she has more than one thing in common with her idol Marilyn Monroe. She has her own song and she is dead.,Anna|Nicole|Tribute|Smith|Video|Death|Playboy|Model|Marilyn|Monroe|Sexy|Florida|Hotel|Hard|Rock|Candle|Elton|John|Wind
34,2006-09-13T13:49:42Z,Anna Nicole Smith from Exposed,Anna Nicole Smith talks about her typical day in this scintillating scene from Exposed.  See 1000's of free movie clips at www.ez-flix.com,anna|nicole|smith|sexy|model
35,2006-09-13T16:01:18Z,Anna Nicole In Hot Outdoor Photoshoot,"This Anna Nicole Smith photoshoot features some hot, sexy, scenes and near nude shots.  See 1000's of free movie clips at www.ez-flix.com",anna|nicole|smith|sexy|model
36,2007-02-10T02:00:20Z,Re: UNK WALK IT OUT VIDEO,Video Cam Direct Upload,Unk|walk|it|out|big|oomp|camp|dj|jelly|snap|westside|atl|atlanta|crunk|bankhead|simpson|road|street|talk|ghetto|hood|bet
37,2007-01-08T11:51:03Z,Ivanka Trump photo shoot,This is just a bit of a quick photo shoot that our favorite Trump was in,video
38,2006-10-25T03:18:56Z,Art,"Artwork from Jason Duckmanton.
 
 Check out www.jasonduckmanton.com
 
 Music by 65 days of static.",illustration|art|bunny|animals|gothic|animation|watercolours|fantasy|myspace
39,2006-07-16T17:40:23Z,Famous Russian street Fight(Exclusive Camera),"Zenit St.Petersburg vs Spartak Moscow... The main troubles happened before the match near ""Ice palace""(m.P.B.) between hardcores of Zenit ~180-200(Coalition,Music Hall,Jolly Nevsky, Gremlins,Krymskie,Mobile Group and co.+young firms) and guests from Moscow-Spartak ~210-230 (Gladiators Firm, CWO, Devils Band, Flint's Crew,Union, Tuks, Wildboars,Aliens, Stormers,Avangard,NWS,Clench Fist,Simple Boys,Hard Gang and others).The first clash after Zenit hooligans,but than the victory of Spartak hools with great difficulty!A lot of injured from both sides!!!...",Russian|Street|Fight|Hooligans|Hools|Zenit|football|fans|ultras|brawl|war
40,2006-09-06T16:59:14Z,suicidegirl vs. napoleon dynamite,skills.,cute|blonde|chloe|dance|hot|boobs|sexy|reagan|suicide|girl|suicidegirl|suicidegirls|napoleon|dynamite
41,2005-12-31T15:21:50Z,la guardia civil,monologo el club de la comedia quique san francisco,monologo|quique|san|francisco
42,2006-01-03T13:31:26Z,pen,pen will be brocken between her ass bakes,ass
43,2006-10-12T10:30:45Z,Chad Vader - Season 4 (Sneak Preview),"preview: 
 backstage in the supermarket some fans are getting really pissed off
 
 read the comments!",chad|vader|Episode|Season|blame|society|splatter|punk|amok|trash|blood|stupid|S1|S2|S3|S4|S5|E1|E2|E3|E4|E5|E6|E7|E8|E9|E10|youtube|rip|off|project|videogame|troll
44,2006-03-20T16:31:53Z,New Jack nearly kills an old man with a baseball bat - (NOT FOR KIDS),"www.youtube.com/slowdive626
 
 please subscribe to my youtube channel for more free documentaries and productions and other various productions...
 
 slowdive626@aol.com
 
 e-mail me if you need to contact me or you want a copy of the dvd.  i can help you out with anything you need.
 
 you can also donate to me via PAYPAL by sending a payment to Slowdive626@aol.com.  With your support I can continue to release free documentaries and tons of other footage that I own the copyrights too.  please support what I am doing.  each documentary i am releasing on my youtube channel for free sold for $15 to $20 at one time or another on my website, so a $5 donation or more goes a long way to help my film career and pay for expenses.  Thank you for your support...
 
 -Michael Moody
 slowdive626@aol.com",new|jack|stunts|music|steveo|pain|jackass|prank|humor|odd|big|hot|drunk|party|fight|science|wrestlemania|tv|sick|blood|scary|best|gravity|wwf|wwe|ecw|tna|ufc|wec|mma|bong|marijuana|weed|girl|sexy|cute|boobs|uncensored|adult|avril|lavigne|paper|planes|kanye|50|cent|fifty|2pac|tupac|salvia|surgery|night|today|live|recent|current|2009|years|barack|obama|george|bush|politics|news|cnn|fox|abc|nbc|msnbc|bill|o'reilly|hannity|man|woman|hollywood|scene|bash|highlight|sport|nfl|college|football|japan
45,2006-05-07T10:25:50Z,Final Fantasy X/X-2 Music Video -- Soil,"Okay, so this is my first music video I've ever made, if any one sees it and thinks even the smallest thing on it please throw a comment. Thank you and i hope you enjoy it.        The song is Soil - The one, Different then anything else I've seen, and the musical lyrics are set to go with the video (or at least best i could get it to =P)",final|fantasy|yuna|games|music|tidus|rikku|video|soil
46,2006-07-19T10:18:16Z,Bible Black Reika Kitami,pc game,bible|black|hentai|game|Reika|Kitami
47,2006-07-09T06:05:29Z,Hawthorne Heights- Ohio is for Lovers,A bunch of random pictures set to the music of ohio is for lovers by hawthorne heights.... if you are emo you WILL be offended.,Hawthorne|Heights|Ohio|is|for|Lovers|emo|music|videos|pictures
48,2007-01-26T18:52:02Z,cvs prank,prank call to a cvs pharmacy,dod|prank|cvs|funny|lol|rofl|gg|noob
49,2006-01-05T10:29:22Z,banned commercial,funny dutch commercial,funny|banned|commercial
50,2006-09-03T18:50:40Z,Funny Banned Commercial - thirsty baby,Want to download this/any other youtube video for free?  Go HERE - http://bestdealsonthenet.org/youtubedownloader,Funny|Banned|Commercial|thirsty|baby|humor|comedy|hilarious|http://failpictures.net
51,2006-03-30T21:35:48Z,Banned Commercial MasterCard,Banned Commercial,Banned|Commercial
52,2006-11-01T02:29:36Z,Mommy said i could,A funny commercial that was sent to me. Worth watching.,funny|commercial|mom|said|could
53,2006-02-08T14:30:49Z,Banned  French Cell Phone Commercial!,The perfect wedding and the most shocking surprise!,Banned|Commercial|Cell|Phone|Gay|French|Funny
54,2007-01-20T04:20:44Z,THE PLEASURE MACHINE,Simply irresistable and as erotic as legally possible,kiss|lingerie|ass|arse|boobs|tits|breasts|kylie|minogue|holly|valance|france|agent|ad|commercial|banned|queen|pop|gay
55,2006-05-10T22:28:11Z,Us - Runaway Shadow,Made by Lasse Gjertsen in 2005.,lasse|gjertsen|norwegian|norge|norsk|funny|morsom|morsomt|festlig|weird|fett|kult|lol|haha|hehe|hihi|short|short film|kortfilm|video experiment|video|experiment|eksperiment|test|try out|lasse gjertsen|febersyn
56,2006-11-03T05:21:38Z,Den Lille Valpen (The Little Puppy),Made by Lasse Gjertsen in 2006.,Lasse|Gjertsen|norwegian|norge|norsk|funny|humor|humour|morsom|morsomt|festlig|weird|fett|kult|lol|haha|hehe|hihi|video experiment|video|experiment|eksperiment|test|try out|short|short film|kortfilm|cute|søt|dog|puppy|valp|blood|blod|vold|violence|head shot|lasse gjertsen
57,2006-10-18T22:14:41Z,"""BRING 'EM HOME""-Music Video by Kaleo Futuristo","""BRING 'EM HOME"" is a Music Video by the artist Kaleo.
 It is Dedicated to All Soldiers, Families and Friends.
 Honor, Respect, Peace, and Unity.
 www.kaleofuturisto.com",BRING|'EM|HOME|Music|Video|Kaleo|Futuristo|U.S.|Soldiers|Iraq|ivaw|vvaw|bush|war
58,2005-12-31T20:06:03Z,storytime with alyssa,alyssa being gay,reading
59,2006-08-15T00:55:53Z,Why should I support Israel?,"A video promoting reasons why you should support Israel
 
 Now that doesnt mean supporting the Radical Jews or Radical Muslims of the world because that is the source of the problem!
 ***THIS VIDEO IS RATED R for graphic images***
 -------------
 ***Credits***
 -------------
 Music by: 
 Immediate Music - Pearl Harbor 
 Immediate Music - Final Omen 2
 Photos gathered from googled sites
 Speech video clip from googled site
 Suicide bombing results video taken from 
 http://www.youtube.com/watch?v=jFoLYXzkEyU",Israel|support|video|terrorism|victims|bombs|blood|guts|rated-R
60,2006-10-12T13:19:31Z,Dir en grey - Cage,The PV of Dir en grey's Cage,Dir|en|grey|Cage|Diru|Kyo|Kaoru|Shinya|Die|Toshiya
61,2006-07-18T16:42:36Z,Gym Class Heroes: Papercuts [OFFICIAL VIDEO],"Gym Class Heroes' music video for 'Papercuts' from the album, The Papercut Chronicles - available now on DCD2 Records / Fueled By Ramen. Download it at http://smarturl.it/papercut  LYRICS She says she loves me But she comes and goes when she pleases When the door shuts It's like another papercut And I'm stuck with a hand full of bandaids Until she comes back around like them ceiling fan blades Claims she loves me But she cuts me into pieces When I'm sewed up Here comes another papercut Now I'm stuck with a hand full of bandaids Until she comes back around like them ceiling fan blades.....  We met 22 years back Fresh out the womb Now she consumes me, No room for self these days And she's so demanding Do this, do that Don't forget to take your medicine I hate it when her face is invading my head again The welcome mat reads ""please take off your shoes"" But she disregards the statement I've grown accustomed to bending my beliefs to Satisfy her needs But I'm fed up With plugging cuts everytime they bleed So I dip my pen in the puddle What a bloody mess its been Trying to end this struggle But I love her, She's the reason for the lesions Man I love her I start bleeding when she's leaving And every scar on my fingertip is a reminder of All the lessons learned On my missions to try to find her but I'll sit alone until she comes back home And I'll be waiting by the phone  [phone rings:] ""Hello?""  She says she loves me But she comes and goes when she pleases When the door shuts It's like another papercut And I'm stuck with a hand full of bandaids Until she comes back around like them ceiling fan blades Claims she loves me But she cuts me into pieces When I'm sewed up Here comes another papercut Now I'm stuck with a hand full of bandaids Until she comes back around like them ceiling fan blades.....  [On the Phone] She don't live here no more I heard she's staying down the street with the dead beat That don't treat her right with two bad ass kids Guilt and Regret And I'm willing to bet My last album that she's wishing she was kissing me  Man the nerve of this bitch Pardon my French But it's been 10 days And I'm getting kind of light headed Maybe I'll write her a letter in a gentleman's way And send it with the hopes that she might get it I can't believe I let her run all over me But all I think about is When she's here and holding me I love her She's the reason for the lesions Man I love her I start bleeding when she's leaving And every scar on my fingertip is a reminder of All the lessons learned All my missions trying to find her and I can't complain I kind of like the pain She ain't even got a name She just lives in my brain And says..  She says she loves me But she comes and goes when she pleases When the door shuts It's like another papercut And I'm stuck with a hand full of bandaids Until she comes back around like them ceiling fan blades Claims she loves me But she cuts me into pieces When I'm sewed up Here comes another papercut Now I'm stuck with a hand full of bandaids Until she comes back around like them ceiling fan blades.....  She says she loves me but (she really thinks that I'm an asshole) She says she loves me but (my ears are too big) She says she loves me but (I pick my nose too much) She says she loves me but (she says I never really listen) She says she loves me but (I take too many pills) She says she loves me but (I never pay my bills) She says she loves me but (I wait until the last minute) She says she loves me but (I don't try hard enough)",gym class heroes|fueled by ramen|papercuts|the papercut chronicles|official|DCD2 Records
62,2006-10-04T17:23:50Z,Rush Limbaugh - A Concentrated Pile Of Human Waste,"Folks, Rush Limbaugh likes to tell us he is the ""great truth detector."" Rush also claims to be an example of patriotism who exhibits a high degree of moral behavior. Rush Limbaugh has nothing to do with truth and morals, nor is he an example of patriotic behavior.  Rush Limbaugh evaded serving his country at a time when it needed him. By getting his private doctor to state he had a pilonidal cyst on his bottom and needed a 4f (unfit for military service), Rush avoided the Vietnam war. Allegedly, he had either an ""anal cyst"" or a ""ingrown hair follicle"".  Just imagine the dripping scorn and merciless sarcasm Rush would unleash, with the revelation that a prominent Democrat had skipped out of a war, over something like that.  Friends, Rush Limbaugh is a highly paid propagandist and self-serving demagogue, in the service of a radical right-wing sect. Limbaugh regularly feeds his audience a diet of lies, disinformation, misstatements and distortions. He is part of a cabal of pundits, commentators, and ""reporters""-call it the Limbaugh-Hannity-Drudge axis. This fifth column in the forth estate is made up of propagandists pretending to be journalists. Through multiple overlapping outlets covering radio, television, and the Internet, they relentlessly force-feed the American people right-wing talking points and ultraconservative dogma disguised as news and infotainment-24 hours a day, 7 days a week, 365 days a year.  Even with the hot air and relentless rhetoric from  propagandists such as Rush Limbaugh, events have landed President George W. Bush firmly out of favor with mainstream America. Still, Rush infers (of course) that everybody who doesn't approve of Bush's performance and policies, is some sort of unpatriotic-America-hating traitor.  Clearly, Rush Limbaugh/Bush-Cheney, are disingenuous and dangerous extremists, with an agenda that conflicts with mainstream America.  Limbaugh Whoopers http://mediamatters.org/issues_topics/tags/rush_limbaugh  Limbaugh Debates Reality http://www.fair.org/index.php?page=1895  Limbaugh's Essential Stack of Stuff: ""Global Warming is an Environmentalist Wacko Hoax."" http://www.environmentalhealthnews.org/archives.jsp?sm=fr13%3Bcurrentissues15%3B5Climate_change14%3BClimate+change  Limbaugh on Bush's Legacy http://thinkprogress.org/2007/05/03/rush-limbaugh-on-bushs-legacy/  Liberals Must Die!! http://www.liberalsmustdie.com/default.aspx  Greg Palast Journalism and Film http://www.gregpalast.com/  Palast on PBS' NOW 'The Fix is in' for 2008 http://www.gregpalast.com/pbs-tonight-palast-on-now-the-fix-is-in-for-2008/  ""How Come Nobody Told Me This Before?"" http://www.gregpalast.com/how-come-nobody-told-me-this-before/  The Other War: Iraq Vets Bear Witness http://www.thenation.com/doc/20070730/hedges  The Junk Science of George W. Bush http://www.thenation.com/doc/20040308/kennedy  Bad Science and the Bush Record http://www.nrdc.org/bushrecord/science/default.asp  Go/Left TV http://www.goleft.tv/  Go/Left TV Robert F. Kennedy Jr. of GoLeft.tv and Air America's Ring of Fire gives a speech at the 2007 Live Earth concert in New Jersey. http://goleft.tv/view.asp?v=260  Go/Left TV: Mainstream Media is Dead Mike Papantonio talks about how Mainstream Media is dead, but there is a new rise of the ""citizens' media"". http://goleft.tv/view.asp?v=36  theREALnews network http://therealnews.com/web/index.php",rush|limbaugh
63,2006-10-13T11:39:36Z,Dropping the Ball,"This short was shot & edited in 28 minutes.  CBS is now adapting it into a four-part miniseries.
 
 Mediocre Films: They're Better Than They Sound!
 
 http://www.mediocrefilms.com
 http://www.myspace.com/mediocrefilms
 
 If you like this, PLEASE SUBSCRIBE to MediocreFilms! Plenty more ridiculous videos & short films coming soon...
 
 Your new best friend,
 Greg Benson",short|film|comedy|viral|video|youtube|mediocre|funny|random|weird|myspace|mediocrefilms.com|greg|benson|poop|music|song
64,2006-10-14T17:15:28Z,I Hate Christmas part 2,elmo tmx on fire. part 2 of 3. www.myspace.com/sexgirlpatrol,elmo|tickle|me|tmx|t.m.x|fire|sexgirlpatrol|burn|ebay|melting|tickleme
65,2006-03-22T10:40:56Z,Snuff 8mm,a short movie... horror in lego-land,snuff|8mm|lego|horror|humor|funny
66,2006-09-21T01:45:07Z,"Naughty Doctor (Christian Troy, Nip/Tuck)","Christian Troy's sex tape from season 4, ep 3",Naughty|Doctor|Christian|Troy|Nip/Tuck
67,2006-04-05T20:00:22Z,The L Word - Shane and Carmen - The Naughty Song,"love this clip and the song is so sexy
 
 not my work, credit to RainbowHaze",lword|Shane|Carmen
68,2005-12-28T04:49:31Z,"Naruto, Sasuke, Sakura - Listen to your heart","I made this movie and its about when naruto and sasuke had the big fight and sakura-sasuke. this is also my first movie and i messed up on some parts, but enjoy!",naruto|sasuke|sakura
69,2006-08-16T16:06:46Z,school rumble amv - under the moon（avi）,a amv for harima and hanai,school|rumble|amv|2nd|harima|hanai|eri|tenma
70,2007-02-16T12:47:37Z,The War on Everything: Revised,"One of my first truly political videos, this one has been modified for my voice; as I used to mask it. Enjoy, and the ending is my favorite part, by the way.",war|on|m3xlc4n|olbermann|colbert|stewart|john|drugs|terrorism|saddam|hussein|execution|hanging
71,2006-10-26T06:54:53Z,American Communism,This one is all over the place. I'm reposting the interview with Russo in a shorter version without the intro tomorrow.,war|on|m3xlc4n|everything|traffic|accident|drugs|terrorism|bitching|bitch|9/11|wtc|politics|wtf|bloopers|fire|explosions
72,2006-10-12T04:04:53Z,Much Ado About Nothing,"http://www.citynews.ca/international/day/10-10-2006_147.aspx
 Next time maybe she'll tell the world how to actually see more of my videos.",war|on|m3xlc4n|everything|traffic|accident|drugs|terrorism|bitching|bitch|9/11|wtc|politics|wtf|bloopers|fire|explosions
